,c,oi,op,rpr,mp
all_bot,15216764,1344503,27106227,503049,7605185
all_ac,39170748,14655414,23134701,16155761,18088265
cncf_bot,232052,352,2523,2109,1915
cncf_ac,305604,32954,47948,176773,39225
graduated_bot,161598,275,1134,9,839
graduated_ac,176140,14447,20556,86199,15866
incubating_bot,32733,57,342,0,254
incubating_ac,52893,6053,10779,35632,9037
sandbox_bot,37721,20,1047,2100,822
sandbox_ac,76571,12454,16613,54942,14322
kubernetes_bot,142769,15,2,0,0
kubernetes_ac,92270,3882,6866,30721,4745
tikv_bot,7742,254,427,0,253
tikv_ac,10077,743,1592,5547,1266
