,cncf,graduated,incubating,sandbox,kubernetes,tikv
-12,35,16,6,13,7,3
-11,0,0,0,0,0,0
-10,2,0,2,0,0,0
-9,0,0,0,0,0,0
-8,529,294,118,117,111,3
-7,794,409,198,187,158,3
-6,175,82,40,53,19,3
-5,531,232,127,172,71,6
-4,534,244,127,163,76,4
-3,75,26,31,18,14,0
-2,0,0,0,0,0,0
-1,0,0,0,0,0,0
0,375,186,87,102,89,1
1,792,286,198,308,95,2
2,869,329,187,353,103,2
3,2,0,2,0,20,1
4,2,0,1,0,2,0
5,5,2,5,2,18,4
6,1,3,32,1,2,4
7,55,22,11,22,2,0
8,1153,577,190,386,212,109
9,156,95,38,23,27,0
10,32,17,8,7,5,0
11,36,20,14,2,3,0
