,hour,week,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
0,0,1,998.120218579235,33.28688524590164,24.48633879781421,16.112021857923498,19.46448087431694,6.5136612021857925,1.349726775956284
1,1,1,868.0136612021857,29.983606557377048,23.991803278688526,18.079234972677597,20.92622950819672,4.024590163934426,0.6885245901639344
2,2,1,816.2349726775956,30.562841530054644,25.346994535519126,19.73224043715847,22.03551912568306,3.7431693989071038,0.5300546448087432
3,3,1,837.1912568306011,27.76775956284153,22.07103825136612,15.666666666666666,19.02185792349727,3.297814207650273,0.5901639344262295
4,4,1,948.0218579234972,28.112021857923498,23.262295081967213,16.39344262295082,19.346994535519126,4.188524590163935,0.6038251366120219
5,5,1,1073.2349726775956,30.961748633879782,24.78688524590164,16.16393442622951,19.314207650273225,4.442622950819672,1.3961748633879782
6,6,1,1241.3524590163934,34.330601092896174,25.62295081967213,18.016393442622952,21.316939890710383,5.379781420765028,1.0437158469945356
7,7,1,1524.2295081967213,43.931693989071036,32.439890710382514,19.65573770491803,23.202185792349727,8.66120218579235,1.144808743169399
8,8,1,2060.068306010929,62.666666666666664,43.78688524590164,23.284153005464482,30.74590163934426,14.204918032786885,4.901639344262295
9,9,1,3267.9535519125684,125.42622950819673,83.62295081967213,44.11748633879781,49.759562841530055,38.950819672131146,3.737704918032787
10,10,1,8286.131147540984,259.8032786885246,172.89617486338798,79.48907103825137,88.25136612021858,88.42896174863388,6.89344262295082
11,11,1,8803.098360655738,283.8551912568306,185.58196721311475,83.21584699453553,95.3879781420765,93.96448087431693,7.685792349726776
12,12,1,8378.967213114754,260.04371584699453,170.9071038251366,76.60655737704919,90.57103825136612,86.17486338797814,7.032786885245901
13,13,1,8065.237704918033,236.21038251366122,151.06284153005464,69.53005464480874,82.41256830601093,72.6775956284153,7.112021857923497
14,14,1,8486.775956284153,249.4344262295082,161.60655737704917,73.14754098360656,84.27049180327869,78.02459016393442,8.868852459016393
15,15,1,9015.166666666666,254.2513661202186,166.1693989071038,76.87978142076503,84.94535519125684,78.83060109289617,9.049180327868852
16,16,1,9381.934426229509,258.57923497267757,165.94535519125682,77.7568306010929,88.16939890710383,78.33879781420765,7.718579234972678
17,17,1,9445.281420765028,246.28142076502732,155.97540983606558,74.77595628415301,86.9672131147541,74.55191256830601,6.6775956284153
18,18,1,3862.346994535519,163.55464480874318,103.44535519125684,53.31147540983606,62.19398907103825,49.467213114754095,4.786885245901639
19,19,1,2847.5054644808743,116.93715846994536,73.31967213114754,39.02732240437158,46.18852459016394,34.631147540983605,4.273224043715847
20,20,1,2325.7677595628415,95.69125683060109,62.202185792349724,31.81967213114754,38.07377049180328,29.565573770491802,4.5710382513661205
21,21,1,2091.4918032786886,82.6256830601093,55.47540983606557,27.42622950819672,32.295081967213115,26.950819672131146,4.062841530054645
22,22,1,1913.7513661202186,73.6584699453552,49.778688524590166,23.7896174863388,29.62568306010929,23.603825136612024,2.759562841530055
23,23,1,1628.48087431694,63.431693989071036,42.18852459016394,20.740437158469945,26.612021857923498,18.69672131147541,2.551912568306011
24,0,2,1289.6284153005465,48.549180327868854,34.34153005464481,17.560109289617486,22.997267759562842,12.737704918032787,1.96448087431694
25,1,2,1045.4234972677596,36.822404371584696,26.991803278688526,16.385245901639344,20.139344262295083,8.316939890710383,1.2923497267759563
26,2,2,914.9726775956284,34.09016393442623,25.366120218579233,15.691256830601093,19.852459016393443,7.103825136612022,1.1174863387978142
27,3,2,906.8633879781421,28.91256830601093,22.852459016393443,14.434426229508198,17.15846994535519,5.887978142076503,0.7076502732240437
28,4,2,986.7349726775956,28.081967213114755,21.92622950819672,13.857923497267759,16.453551912568305,4.617486338797814,0.9508196721311475
29,5,2,1107.5628415300546,32.204918032786885,25.133879781420767,15.814207650273223,18.306010928961747,5.693989071038251,1.4508196721311475
30,6,2,1289.4945355191257,37.60109289617486,28.581967213114755,18.161202185792348,20.281420765027324,7.245901639344262,0.9180327868852459
31,7,2,1626.3879781420765,47.5,33.53551912568306,19.027322404371585,22.80054644808743,9.650273224043715,1.3825136612021858
32,8,2,2292.554644808743,70.16120218579235,47.17213114754098,25.491803278688526,30.871584699453553,17.93169398907104,1.8387978142076502
33,9,2,3655.22131147541,144.01639344262296,94.30327868852459,47.677595628415304,55.63661202185792,45.22677595628415,3.3469945355191255
34,10,2,8928.762295081968,291.39617486338796,190.9207650273224,86.59836065573771,95.71857923497268,100.88524590163935,7.743169398907104
35,11,2,9279.497267759563,304.43715846994536,197.34972677595627,90.8224043715847,102.86338797814207,98.6120218579235,8.248633879781421
