,zone,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
0,-12,18749,48,31,12,11,12,0
1,-11,20932,46,29,9,13,7,2
2,-10,22443,51,36,10,13,15,1
3,-9,24784,99,64,16,27,30,0
4,-8,30088,169,114,37,30,62,1
5,-7,40458,332,212,67,76,99,0
6,-6,48096,307,204,69,75,93,1
7,-5,55015,282,179,66,78,73,0
8,-4,61620,333,175,100,89,68,0
9,-3,55164,314,176,87,85,75,0
10,-2,44448,176,108,35,53,40,0
11,-1,40911,163,98,39,49,40,0
12,0,47156,188,106,43,59,35,0
13,1,61323,351,205,81,109,96,4
14,2,68318,418,216,89,152,98,0
15,3,58387,336,178,67,121,65,1
16,4,41700,270,165,53,84,66,5
17,5,29374,162,94,37,51,34,6
18,6,21554,91,55,19,30,21,4
19,7,22803,176,119,21,50,54,15
20,8,28366,310,212,50,73,89,17
21,9,24416,218,156,44,54,81,0
22,10,18721,78,52,12,23,33,0
23,11,17734,64,47,6,17,25,1
